SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,PRICE,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,2818 Grand Ave Unit B410,Everett,WA,98201,210000,0,1,Downtown,513,210000,,2002,7,409,206,Pending,,,https://www.redfin.com/WA/Everett/2818-Grand-Ave-98201/unit-B410/home/11885355,NWMLS,1901215,N,Y,47.9800003,-122.2132191
PAST SALE,,Condo/Co-op,2818 Grand Ave Unit B101,Everett,WA,98201,249950,0,1,Downtown,637,249950,,2002,13,392,437,Pending,,,https://www.redfin.com/WA/Everett/2818-Grand-Ave-98201/unit-B101/home/11884499,NWMLS,1898496,N,Y,47.9800003,-122.2132191
PAST SALE,January-25-2017,Condo/Co-op,3207 Colby Ave #306,Everett,WA,98201,276500,1,1,Everett,789,276500,,1979,28,350,363,Pending,,,https://www.redfin.com/WA/Everett/3207-Colby-Ave-98201/unit-306/home/2792236,NWMLS,1887260,N,Y,47.974888,-122.2080866
PAST SALE,,Single Family Residential,80 G Mukilteo Way,Hat Island,WA,98206,295000,2,1,Hat Island,816,295000,10454,1986,31,362,100,Pending,,,https://www.redfin.com/WA/Everett/80-G-Mukilteo-Way-98206/home/178650696,NWMLS,1891667,N,Y,48.010176,-122.3207792
PAST SALE,April-5-2016,Condo/Co-op,2120 Highland Ave #101,Everett,WA,98201,299999,4,2,Riverside,1752,299999,,1929,27,171,629,Pending,,,https://www.redfin.com/WA/Everett/2120-Highland-Ave-98201/unit-101/home/11884694,NWMLS,1893401,N,Y,47.9889489,-122.1854
MLS Listing,,Condo/Co-op,2506 Grand Ave #3,Everett,WA,98201,315000,3,1,Downtown,1154,315000,3000,1897,1,273,175,Active,March-26-2022 11:00 AM,March-26-2022 01:00 PM,https://www.redfin.com/WA/Everett/2506-Grand-Ave-98201/unit-3/home/11906551,NWMLS,1904086,N,Y,47.9844285,-122.2130434
PAST SALE,November-1-2019,Single Family Residential,1309 E Marine View Dr,Everett,WA,98201,349950,1,1,North Everett,610,349950,3920,1915,8,574,,Pending,,,https://www.redfin.com/WA/Everett/1309-E-Marine-View-Dr-98201/home/2897952,NWMLS,1898343,N,Y,47.9995618,-122.1886255
PAST SALE,November-5-2020,Condo/Co-op,3207 Colby Ave #301,Everett,WA,98201,349950,2,2,Downtown,1034,349950,,1979,29,338,469,Pending,,,https://www.redfin.com/WA/Everett/3207-Colby-Ave-98201/unit-301/home/2792224,NWMLS,1890070,N,Y,47.974888,-122.2080866
MLS Listing,,Single Family Residential,2501 Leonard Dr,Everett,WA,98201,350000,4,2,Everett,1646,350000,4356,1910,5,213,,Active,,,https://www.redfin.com/WA/Everett/2501-Leonard-Dr-98201/home/2737011,NWMLS,1902928,N,Y,47.9907905,-122.1953447
PAST SALE,February-18-2020,Single Family Residential,2309 California St,Everett,WA,98201,359000,2,1,Riverside,1466,359000,4356,1924,49,245,,Pending,,,https://www.redfin.com/WA/Everett/2309-California-St-98201/home/2686220,NWMLS,1884216,N,Y,47.9807274,-122.1980728
PAST SALE,August-31-2001,Single Family Residential,2314 Everett Ave,Everett,WA,98201,375000,2,2,Riverside,1017,375000,3049,1992,27,369,,Pending,,,https://www.redfin.com/WA/Everett/2314-Everett-Ave-98201/home/2686206,NWMLS,1889731,N,Y,47.9815672,-122.1978674
PAST SALE,,Single Family Residential,2426 Cedar St,Everett,WA,98201,375000,2,1,Riverside,1992,375000,5227,1925,13,188,,Pending,,,https://www.redfin.com/WA/Everett/2426-Cedar-St-98201/home/2560725,NWMLS,1899639,N,Y,47.9848554,-122.1939699
PAST SALE,August-29-2014,Single Family Residential,1035 Temple Dr,Everett,WA,98201,395000,1,1,Rucker Hill,504,395000,6970,1930,27,784,,Pending,,,https://www.redfin.com/WA/Everett/1035-Temple-Dr-98201/home/2754961,NWMLS,1893710,N,Y,47.9636838,-122.2156295
PAST SALE,May-9-2011,Townhouse,3515 Wetmore Ave Unit D,Everett,WA,98201,415000,3,3.5,Everett,1612,415000,,2002,34,257,200,Pending,,,https://www.redfin.com/WA/Everett/3515-Wetmore-Ave-98201/unit-D/home/2899943,NWMLS,1890954,N,Y,47.970754,-122.2064326
MLS Listing,,Single Family Residential,2727 Harrison Ave,Everett,WA,98201,425000,2,1,Everett,828,425000,4356,1911,1,513,,Active,,,https://www.redfin.com/WA/Everett/2727-Harrison-Ave-98201/home/2740995,NWMLS,1904594,N,Y,47.9806446,-122.1822036
PAST SALE,July-17-2008,Single Family Residential,1925 Oakes Ave,Everett,WA,98201,425000,2,2,North Everett,913,425000,6098,1903,35,465,,Pending,,,https://www.redfin.com/WA/Everett/1925-Oakes-Ave-98201/home/2686349,NWMLS,1890093,N,Y,47.9915097,-122.2038145
MLS Listing,,Townhouse,3317 Rucker Ave Unit C,Everett,WA,98201,425000,3,2.5,Everett,1237,425000,,2018,1,344,250,Active,March-26-2022 01:00 PM,March-26-2022 03:00 PM,https://www.redfin.com/WA/Everett/3317-Rucker-Ave-98201/unit-C/home/177708673,NWMLS,1901209,N,Y,47.9731567,-122.2109315
PAST SALE,October-17-2008,Single Family Residential,2414 Oakes Ave,Everett,WA,98201,429000,3,1,North Everett,1440,429000,6098,1901,19,298,,Pending,,,https://www.redfin.com/WA/Everett/2414-Oakes-Ave-98201/home/2689197,NWMLS,1896876,N,Y,47.9852761,-122.204561
MLS Listing,,Single Family Residential,2212 Broadway Ave,Everett,WA,98201,434950,1,1,Everett,1184,434950,3049,1901,75,367,,Active,,,https://www.redfin.com/WA/Everett/2212-Broadway-98201/home/11903087,NWMLS,1876674,N,Y,47.987959,-122.2016693
PAST SALE,May-17-1991,Single Family Residential,1210 Pacific Ave,Everett,WA,98201,445000,2,1,Historic N Everett,763,445000,3049,1923,7,583,,Pending,,,https://www.redfin.com/WA/Everett/1210-Pacific-Ave-98201/home/2685728,NWMLS,1901184,N,Y,47.9761796,-122.2136229
PAST SALE,,Single Family Residential,1909 McDougall Ave,Everett,WA,98201,449950,3,1,North Everett,1132,449950,5227,1910,7,397,,Pending,,,https://www.redfin.com/WA/Everett/1909-McDougall-Ave-98201/home/2687449,NWMLS,1900879,N,Y,47.9919157,-122.199457
PAST SALE,April-26-2019,Single Family Residential,2311 Highland Ave,Everett,WA,98201,450000,2,1,Riverside,834,450000,6098,1940,19,540,,Pending,,,https://www.redfin.com/WA/Everett/2311-Highland-Ave-98201/home/2693881,NWMLS,1886625,N,Y,47.9864026,-122.1848642
PAST SALE,March-6-2020,Single Family Residential,2916 Leonard Dr,Everett,WA,98201,450000,3,1.5,Everett,913,450000,4356,1918,166,493,,Pending,,,https://www.redfin.com/WA/Everett/2916-Leonard-Dr-98201/home/2737072,NWMLS,1850504,N,Y,47.9903287,-122.1911771
PAST SALE,November-23-2005,Single Family Residential,1501 Broadway,Everett,WA,98201,460000,5,3,North Everett,1968,460000,4356,1925,69,234,,Pending,,,https://www.redfin.com/WA/Everett/1501-Broadway-98201/home/2702745,NWMLS,1877960,N,Y,47.9974936,-122.2007716
PAST SALE,April-29-2016,Single Family Residential,3515 Friday Ave,Everett,WA,98201,475000,3,1,Rucker Hill,2532,475000,4356,1910,27,188,,Pending,,,https://www.redfin.com/WA/Everett/3515-Friday-Ave-98201/home/2693437,NWMLS,1892278,N,Y,47.9704698,-122.2149355
PAST SALE,July-19-1991,Single Family Residential,1811 Baker Ave,Everett,WA,98201,480000,2,1,North Everett,972,480000,4792,1921,9,494,,Pending,,,https://www.redfin.com/WA/Everett/1811-Baker-Ave-98201/home/2669031,NWMLS,1899493,N,Y,47.9931596,-122.195209
PAST SALE,October-15-2019,Single Family Residential,2409 Maple St,Everett,WA,98201,485000,2,1,Riverside,1832,485000,4792,1930,13,265,,Pending,,,https://www.redfin.com/WA/Everett/2409-Maple-St-98201/home/2560521,NWMLS,1898302,N,Y,47.985276,-122.1905279
MLS Listing,,Single Family Residential,2224 Chestnut St,Everett,WA,98201,495000,2,2,North Everett,1087,495000,4356,1905,6,455,,Active,,,https://www.redfin.com/WA/Everett/2224-Chestnut-St-98201/home/2560391,NWMLS,1900718,N,Y,47.9873866,-122.1882924
